company_size,remote_ratio,salary_in_usd
L,0,120855.875
L,50,89724.23333333334
L,100,135464.820754717
M,0,108747.01265822785
M,50,61835.0
M,100,124874.48230088495
S,0,65539.6875
S,50,73305.05555555556
S,100,83171.14285714286
